soc_code,bls_occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
53-3032,Heavy and Tractor-Trailer Truck Drivers,2062040,0.5,28.71,59710.0,0.2,19.3,23.06,28.19,33.23,38.17,40140.0,47960.0,58640.0,69120.0,79380.0,,
53-3033,Light Truck Drivers,983300,0.7,23.45,48770.0,0.3,14.81,17.92,21.57,25.15,38.61,30800.0,37270.0,44860.0,52310.0,80310.0,,
53-3051,"Bus Drivers, School",402930,1.0,23.28,48430.0,0.3,14.06,18.58,23.04,28.09,31.6,29240.0,38650.0,47920.0,58430.0,65730.0,,
53-3052,"Bus Drivers, Transit and Intercity",159240,1.1,28.98,60280.0,0.3,19.25,22.85,28.39,33.99,40.72,40030.0,47530.0,59050.0,70700.0,84700.0,,
53-3053,Shuttle Drivers and Chauffeurs,248530,1.3,19.17,39880.0,0.5,13.51,15.73,17.93,21.97,26.47,28090.0,32710.0,37290.0,45700.0,55070.0,,
53-3054,Taxi Drivers,41050,12.9,24.01,49930.0,2.9,16.66,18.17,20.24,29.31,36.44,34650.0,37790.0,42100.0,60960.0,75800.0,,
53-3099,"Motor Vehicle Operators, All Other",46880,3.2,20.4,42430.0,1.0,12.76,15.01,17.87,23.55,31.97,26540.0,31220.0,37180.0,48980.0,66500.0,,
53-4011,Locomotive Engineers,33470,0.8,41.3,85900.0,0.5,29.17,36.15,39.14,44.84,52.51,60680.0,75190.0,81410.0,93260.0,109220.0,,
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",3920,4.0,32.91,68450.0,1.3,21.41,25.37,29.14,38.63,48.21,44540.0,52780.0,60600.0,80360.0,100270.0,,
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",12400,1.7,33.19,69030.0,0.5,21.95,27.8,33.1,36.82,41.63,45660.0,57820.0,68840.0,76590.0,86590.0,,
53-4031,Railroad Conductors and Yardmasters,46440,0.7,38.03,79100.0,0.4,28.24,31.54,37.5,40.3,52.78,58740.0,65610.0,78000.0,83820.0,109770.0,,
53-4041,Subway and Streetcar Operators,10200,2.2,37.1,77170.0,0.5,26.53,29.8,41.53,43.34,43.34,55180.0,61980.0,86380.0,90140.0,90140.0,,
53-4099,"Rail Transportation Workers, All Other",1120,13.3,28.91,60140.0,3.4,19.27,22.87,27.1,35.62,39.99,40080.0,47570.0,56360.0,74090.0,83190.0,,
53-5011,Sailors and Marine Oilers,31670,3.8,27.32,56830.0,1.5,16.61,19.92,24.77,32.5,40.2,34560.0,41430.0,51520.0,67590.0,83620.0,,
53-5021,"Captains, Mates, and Pilots of Water Vessels",36850,2.8,49.87,103720.0,2.2,22.8,30.71,44.45,61.14,82.04,47420.0,63880.0,92460.0,127180.0,170640.0,,
53-5022,Motorboat Operators,2480,11.9,27.05,56270.0,4.1,16.59,20.56,22.85,33.18,40.64,34510.0,42760.0,47520.0,69010.0,84530.0,,
53-5031,Ship Engineers,8400,4.4,53.75,111790.0,1.2,27.82,39.49,52.66,65.27,79.56,57870.0,82130.0,109530.0,135760.0,165490.0,,
